Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
24;1;949,794033740433;-726,747434204254;LDH-M2-6-18h-DS
24;0,794328212738037;1049,11208693578;-788,776940947552;LDH-M2-6-18h-DS
24;0,630957365036011;1161,11296656325;-858,683189013768;LDH-M2-6-18h-DS
24;0,501187205314636;1287,21376788845;-930,549920170877;LDH-M2-6-18h-DS
24;0,398107171058655;1429,09972504897;-1006,97327634094;LDH-M2-6-18h-DS
24;0,31622776389122;1587,27397268901;-1083,54499428077;LDH-M2-6-18h-DS
24;0,251188635826111;1761,43703337214;-1155,13823437152;LDH-M2-6-18h-DS
24;0,199526235461235;1951,37240755749;-1223,78150195893;LDH-M2-6-18h-DS
24;0,158489316701889;2156,63448541647;-1281,62889160751;LDH-M2-6-18h-DS
24;0,125892534852028;2372,79582230596;-1332,25682017735;LDH-M2-6-18h-DS
24;0,100000001490116;2599,63402348485;-1369,1472222599;LDH-M2-6-18h-DS
24;0,0794328227639198;2834,81086771237;-1391,09769956708;LDH-M2-6-18h-DS
24;0,0630957335233688;3332,21137167294;-1550,04344732936;LDH-M2-6-18h-DS
24;0,0501187220215797;3521,57697754035;-1497,49629669833;LDH-M2-6-18h-DS
24;0,0398107171058655;3709,98834718532;-1433,98697010814;LDH-M2-6-18h-DS
24;0,0316227748990059;3890,62538011491;-1359,14739724821;LDH-M2-6-18h-DS
24;0,0251188650727272;4066,57189027777;-1272,99501098902;LDH-M2-6-18h-DS
24;0,0199526231735945;4234,99212644266;-1175,60678998552;LDH-M2-6-18h-DS
24;0,015848932787776;4392,84309846732;-1082,17053597708;LDH-M2-6-18h-DS
24;0,0125892544165254;4544,1047093364;-981,285269820523;LDH-M2-6-18h-DS
24;0,00999999977648258;4675,45134104766;-877,514134699386;LDH-M2-6-18h-DS
48;100000;82,0183870300215;-2,23542387412357;LDH-M2-6-18h-DS
48;79432,8203125;79,7391696849991;-1,87842242109468;LDH-M2-6-18h-DS
48;63095,734375;78,5167147700949;-1,65976029308056;LDH-M2-6-18h-DS
48;50118,72265625;77,8307772485452;-1,72196985879714;LDH-M2-6-18h-DS
48;39810,71875;77,5219288991812;-1,56687058725141;LDH-M2-6-18h-DS
48;31622,77734375;77,27674852346;-1,53433895446775;LDH-M2-6-18h-DS
48;25118,865234375;77,2031043631413;-1,49302102354374;LDH-M2-6-18h-DS
48;19952,623046875;77,1417602473523;-1,55719638040733;LDH-M2-6-18h-DS
48;15848,931640625;77,1953900888924;-1,68491524526361;LDH-M2-6-18h-DS
48;12589,25390625;77,2991279491697;-1,8160018336222;LDH-M2-6-18h-DS
48;10000;77,4118026045892;-1,924426083429;LDH-M2-6-18h-DS
48;7943,2822265625;77,4266506128788;-2,24325560151736;LDH-M2-6-18h-DS
48;6309,5732421875;77,6033113710652;-2,5297215366027;LDH-M2-6-18h-DS
48;5011,87255859375;77,7853592194369;-2,93491689779424;LDH-M2-6-18h-DS
48;3981,07177734375;77,9790968609076;-3,4029490839457;LDH-M2-6-18h-DS
48;3162,27758789063;78,2183556741563;-3,97596377783949;LDH-M2-6-18h-DS
48;2511,88647460938;78,4302155188539;-4,83784157303598;LDH-M2-6-18h-DS
48;1995,26232910156;78,7105562503272;-5,61637564958333;LDH-M2-6-18h-DS
48;1584,89318847656;79,076954013569;-6,68589096970542;LDH-M2-6-18h-DS
48;1258,92541503906;79,4929157065032;-8,10759297506399;LDH-M2-6-18h-DS
48;1000;80,0008380306408;-9,67872412288747;LDH-M2-6-18h-DS
48;794,328247070313;80,5983094212104;-11,6363105152985;LDH-M2-6-18h-DS
48;630,957336425781;81,3360219955983;-14,1128280502899;LDH-M2-6-18h-DS
48;501,187225341797;82,1380642987292;-16,8675453402428;LDH-M2-6-18h-DS
48;398,107177734375;83,1297228096163;-20,3400330400397;LDH-M2-6-18h-DS
48;316,227752685547;84,4009695567374;-24,8497437270439;LDH-M2-6-18h-DS
48;251,18864440918;85,8564855371467;-29,6556782702916;LDH-M2-6-18h-DS
48;199,526229858398;87,8398059302089;-36,1115311420618;LDH-M2-6-18h-DS
48;158,489318847656;90,1834590382232;-44,0585756593404;LDH-M2-6-18h-DS
48;125,892539978027;93,1539591988413;-52,7505781105971;LDH-M2-6-18h-DS
48;100;97,0452392187929;-64,1141253165382;LDH-M2-6-18h-DS
48;79,4328231811523;102,026710138249;-77,5578086507285;LDH-M2-6-18h-DS
48;63,0957336425781;107,994869975916;-92,3975409785434;LDH-M2-6-18h-DS
48;50,118724822998;116,407443129308;-111,072383454894;LDH-M2-6-18h-DS
48;39,810718536377;127,804047206451;-134,365457638502;LDH-M2-6-18h-DS
48;31,6227760314941;141,123712215411;-158,560721097444;LDH-M2-6-18h-DS
48;25,1188640594482;159,176350911206;-187,688342382004;LDH-M2-6-18h-DS
48;19,9526233673096;183,797254042789;-222,357227309062;LDH-M2-6-18h-DS
48;15,8489322662354;211,108930037383;-256,505517648053;LDH-M2-6-18h-DS
48;12,5892543792725;246,278210039975;-294,478417620617;LDH-M2-6-18h-DS
48;10;288,231230854101;-334,748926839637;LDH-M2-6-18h-DS
48;7,94328212738037;337,797875812458;-376,261717983739;LDH-M2-6-18h-DS
48;6,30957365036011;393,072288696111;-418,379033005145;LDH-M2-6-18h-DS
48;5,01187229156494;454,017338608025;-460,690192878031;LDH-M2-6-18h-DS
48;3,98107171058655;521,394854538127;-504,225020204537;LDH-M2-6-18h-DS
48;3,16227769851685;594,070106808092;-549,69683783825;LDH-M2-6-18h-DS
48;2,51188635826111;671,683678644352;-596,893109770808;LDH-M2-6-18h-DS
48;1,99526226520538;755,148448832964;-646,898566778595;LDH-M2-6-18h-DS
48;1,58489322662354;844,770449034845;-699,856009348049;LDH-M2-6-18h-DS
48;1,25892543792725;942,033343827929;-758,382803947917;LDH-M2-6-18h-DS
48;1;1042,34992862249;-819,507626951246;LDH-M2-6-18h-DS
48;0,794328212738037;1154,61814260083;-887,984933331483;LDH-M2-6-18h-DS
48;0,630957365036011;1278,68740070105;-964,905900378335;LDH-M2-6-18h-DS
48;0,501187205314636;1418,38843971026;-1048,20562538183;LDH-M2-6-18h-DS
48;0,398107171058655;1573,64501676935;-1133,88423099869;LDH-M2-6-18h-DS
48;0,31622776389122;1748,33860787004;-1222,1887774646;LDH-M2-6-18h-DS
